match_id,round,team_id,opponent_team_id,accurateCross,accurateKeeperSweeper,accurateLongBalls,accuratePass,aerialLost,aerialWon,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,height,hitWoodwork,interceptionWon,jerseyNumber,keyPass,lastManTackle,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalPass,totalTackle,touches,wasFouled,wonContest
12499452,1,2556,2547,7,2,33,293,23,26,1,2,3,2,0,7,46,62,0,0,1.41862401,1.1721,10,0,1,-0.0663,2,3660,0,7,346,10,0,3,2,0,0,0,0,0,131,2,3,4,8,38,12,17,2,69,1,379,16,574,14,6
12499452,1,2547,2556,5,0,34,231,26,23,2,2,4,6,0,6,62,46,0,0,0.49388101,0.6284,15,1,1,-0.1585,1,3720,0,5,320,10,0,5,3,0,0,0,0,0,152,1,2,2,6,14,12,22,0,73,1,323,13,498,10,2
12499430,1,2600,2534,4,0,16,311,13,9,2,2,2,4,0,8,41,37,0,0,0.8739461399999999,1.0279,11,2,2,-1.1508,0,3713,0,6,333,9,0,3,3,0,0,0,0,0,118,0,2,3,6,17,15,19,0,43,1,381,10,549,10,8
12499430,1,2534,2600,9,0,54,388,9,13,3,1,3,8,0,6,37,41,0,0,1.21331176,1.4525000000000001,10,2,2,-0.5437,1,3689,0,9,323,10,0,5,2,0,0,0,0,0,111,0,1,1,3,14,8,16,0,77,2,462,15,620,9,4
12499418,1,2538,2677,3,0,16,236,12,10,2,2,5,4,0,5,32,40,0,0,1.1158026,2.1284,7,2,3,-0.0722,0,3676,0,11,457,10,0,6,2,0,0,0,0,0,121,1,0,1,5,19,9,15,0,51,3,309,15,470,10,5
12499418,1,2677,2538,4,0,23,571,10,12,0,0,2,5,1,9,40,32,0,1,0.5719218,0.3535,10,1,1,-0.5162,0,3694,0,7,300,5,0,2,6,0,0,0,0,0,125,0,2,2,5,15,10,20,0,39,0,646,9,798,7,4
12437650,2,2824,2814,6,0,18,459,6,5,2,1,2,5,1,10,47,36,0,1,0.73745306,0.6876,18,1,1,0.454,0,4173,0,8,360,6,0,3,4,0,0,0,0,0,118,0,3,3,3,18,14,19,0,38,2,522,11,698,14,6
12437650,2,2814,2824,2,1,18,192,5,6,2,3,4,6,0,5,36,47,0,0,0.42607046,1.7850000000000001,14,0,0,-0.4685,1,3827,0,7,316,8,0,4,2,0,0,0,0,0,113,1,0,2,5,22,11,19,1,48,1,259,18,428,18,5
12437647,2,6577,2845,10,0,16,417,15,12,3,2,2,3,0,9,40,41,0,1,0.6723661400000001,0.882,10,1,1,-0.1837,1,3958,0,7,319,8,0,5,1,0,1,0,1,0,146,0,2,3,3,9,9,23,0,52,0,519,13,707,11,5
12437647,2,2845,6577,4,0,25,255,12,15,3,3,1,5,0,5,41,40,0,0,0.63740778,1.4826000000000001,11,2,2,1.3254,1,3992,1,14,310,7,0,5,1,0,0,1,0,1,134,1,3,4,4,30,11,16,0,72,1,342,13,532,9,3
